X,Y,STANDORTNR,KENNZEICH,NAMENR,ART_DTSCH,ART_BOT,GATTUNG_DEUTSCH,GATTUNG,STRNAME,HAUSNR,ZUSATZ,PFLANZJAHR,STANDALTER,KRONEDURCH,STAMMUMFG,BAUMHOEHE,BEZIRK,EIGENTUEMER
13.288302837149901,52.6586786825698,5200,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1978.0,42.0,,63.0,,Reinickendorf,Land Berlin
13.288399362943402,52.6588151588103,5233,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1910.0,110.0,,267.0,,Reinickendorf,Land Berlin
13.2882193334062,52.658824029600204,5201,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1925.0,95.0,,188.0,,Reinickendorf,Land Berlin
13.288145909498699,52.6589450693641,5202,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1978.0,42.0,,63.0,,Reinickendorf,Land Berlin
13.2882827150598,52.6590650051776,5231,03324-Str,ORANIENBURGER CHAUSSEE,Spitz-Ahorn,Acer platanoides,AHORN,ACER,Oranienburger Chaussee,,,1970.0,50.0,,110.0,,Reinickendorf,Land Berlin
13.2880416994977,52.6591024824344,5203,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1937.0,83.0,,201.0,20.0,Reinickendorf,Land Berlin
13.288178615202598,52.659136356239394,5230,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1900.0,120.0,,314.0,20.0,Reinickendorf,Land Berlin
13.2879991320067,52.6591553135147,5204,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1975.0,45.0,,69.0,,Reinickendorf,Land Berlin
13.287966740260902,52.6591593409761,5205,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1970.0,50.0,,79.0,,Reinickendorf,Land Berlin
13.2879625555268,52.6591907490335,5206,03324-Str,ORANIENBURGER CHAUSSEE,Gemeine Rosskastanie,Aesculus hippocastanum,ROSSKASTANIE,AESCULUS,Oranienburger Chaussee,,,1972.0,48.0,,75.0,,Reinickendorf,Land Berlin
13.288150522416199,52.65924291546779,5229,03324-Str,ORANIENBURGER CHAUSSEE,Spitz-Ahorn,Acer platanoides,AHORN,ACER,Oranienburger Chaussee,,,1963.0,57.0,,129.0,,Reinickendorf,Land Berlin
13.288071799363001,52.6592982370786,5228,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1918.0,102.0,,254.0,,Reinickendorf,Land Berlin
13.2878601591412,52.65930615249621,5207,03324-Str,ORANIENBURGER CHAUSSEE,Gemeine Rosskastanie,Aesculus hippocastanum,ROSSKASTANIE,AESCULUS,Oranienburger Chaussee,,,1967.0,53.0,,126.0,,Reinickendorf,Land Berlin
13.287876183821302,52.6593198705695,5208,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1956.0,64.0,,144.0,,Reinickendorf,Land Berlin
13.287780105033699,52.65941738324079,5209,03324-Str,ORANIENBURGER CHAUSSEE,Spitz-Ahorn,Acer platanoides,AHORN,ACER,Oranienburger Chaussee,,,1949.0,71.0,,163.0,,Reinickendorf,Land Berlin
13.287806594386401,52.6594357480523,5210,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1978.0,42.0,,63.0,,Reinickendorf,Land Berlin
13.2877806577871,52.659471337270794,5211,03324-Str,ORANIENBURGER CHAUSSEE,Gemeine Rosskastanie,Aesculus hippocastanum,ROSSKASTANIE,AESCULUS,Oranienburger Chaussee,,,1976.0,44.0,,72.0,,Reinickendorf,Land Berlin
13.2879944143474,52.6594879126039,5227,03324-Str,ORANIENBURGER CHAUSSEE,Robinie,Robinia pseudoacacia,ROBINIE,ROBINIA,Oranienburger Chaussee,,,1931.0,89.0,,220.0,15.0,Reinickendorf,Land Berlin
13.2880012854234,52.659523975912506,5226,03324-Str,ORANIENBURGER CHAUSSEE,"Gemeine Kiefer, Wald-Kiefer",Pinus sylvestris,KIEFER,PINUS,Oranienburger Chaussee,,,1970.0,50.0,,126.0,,Reinickendorf,Land Berlin
13.287700131985,52.659587056648505,5212,03324-Str,ORANIENBURGER CHAUSSEE,Gemeine Rosskastanie,Aesculus hippocastanum,ROSSKASTANIE,AESCULUS,Oranienburger Chaussee,,,1978.0,42.0,,97.0,,Reinickendorf,Land Berlin
13.287928011809402,52.6595903496931,5225,03324-Str,ORANIENBURGER CHAUSSEE,"Gemeine Kiefer, Wald-Kiefer",Pinus sylvestris,KIEFER,PINUS,Oranienburger Chaussee,,,1978.0,42.0,,63.0,,Reinickendorf,Land Berlin
13.2879358807877,52.6596084454115,5224,03324-Str,ORANIENBURGER CHAUSSEE,"Gemeine Kiefer, Wald-Kiefer",Pinus sylvestris,KIEFER,PINUS,Oranienburger Chaussee,,,1978.0,42.0,,63.0,,Reinickendorf,Land Berlin
13.2878760748771,52.6596259300615,5223,03324-Str,ORANIENBURGER CHAUSSEE,Spitz-Ahorn,Acer platanoides,AHORN,ACER,Oranienburger Chaussee,,,1925.0,95.0,,188.0,,Reinickendorf,Land Berlin
13.287880340805199,52.659675075408494,5222,03324-Str,ORANIENBURGER CHAUSSEE,Spitz-Ahorn,Acer platanoides,AHORN,ACER,Oranienburger Chaussee,,,1978.0,42.0,,63.0,,Reinickendorf,Land Berlin
13.287836837168902,52.65968343776979,5221,03324-Str,ORANIENBURGER CHAUSSEE,Spitz-Ahorn,Acer platanoides,AHORN,ACER,Oranienburger Chaussee,,,1980.0,40.0,,100.0,,Reinickendorf,Land Berlin
13.2878454258869,52.6597285169144,5220,03324-Str,ORANIENBURGER CHAUSSEE,Spitz-Ahorn,Acer platanoides,AHORN,ACER,Oranienburger Chaussee,,,1970.0,50.0,,110.0,,Reinickendorf,Land Berlin
13.287558209569099,52.659760330171096,5213,03324-Str,ORANIENBURGER CHAUSSEE,Feld-Ulme,Ulmus minor,ULME,ULMUS,Oranienburger Chaussee,,,1963.0,57.0,,94.0,,Reinickendorf,Land Berlin
13.2877825156672,52.659768067342604,5217,03324-Str,ORANIENBURGER CHAUSSEE,Spitz-Ahorn,Acer platanoides,AHORN,ACER,Oranienburger Chaussee,,,1978.0,42.0,,63.0,,Reinickendorf,Land Berlin
13.2878259359252,52.65977319030561,5218,03324-Str,ORANIENBURGER CHAUSSEE,"Gemeine Kiefer, Wald-Kiefer",Pinus sylvestris,KIEFER,PINUS,Oranienburger Chaussee,,,1978.0,42.0,,63.0,,Reinickendorf,Land Berlin
13.2877620276028,52.6598307083129,5216,03324-Str,ORANIENBURGER CHAUSSEE,Gemeine Rosskastanie,Aesculus hippocastanum,ROSSKASTANIE,AESCULUS,Oranienburger Chaussee,,,1931.0,89.0,,214.0,15.0,Reinickendorf,Land Berlin
13.2874733775474,52.659902960179004,5214,03324-Str,ORANIENBURGER CHAUSSEE,Spitz-Ahorn,Acer platanoides,AHORN,ACER,Oranienburger Chaussee,,,1972.0,48.0,,75.0,,Reinickendorf,Land Berlin
13.2891485697125,52.6574681206911,5183,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1972.0,48.0,,75.0,10.0,Reinickendorf,Land Berlin
13.2893971366801,52.6574941872121,5250,03324-Str,ORANIENBURGER CHAUSSEE,"Gemeine Kiefer, Wald-Kiefer",Pinus sylvestris,KIEFER,PINUS,Oranienburger Chaussee,,,1940.0,80.0,,192.0,,Reinickendorf,Land Berlin
13.2891280753913,52.657508284291296,5184,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1978.0,42.0,,63.0,,Reinickendorf,Land Berlin
13.289290774465801,52.6575308111721,5249,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1920.0,100.0,,251.0,20.0,Reinickendorf,Land Berlin
13.2893279328001,52.6575965846348,5248,03324-Str,ORANIENBURGER CHAUSSEE,"Gemeine Kiefer, Wald-Kiefer",Pinus sylvestris,KIEFER,PINUS,Oranienburger Chaussee,,,1967.0,53.0,,85.0,,Reinickendorf,Land Berlin
13.289253260308099,52.657626974995395,5247,03324-Str,ORANIENBURGER CHAUSSEE,"Sommer-Eiche, Stiel-Eiche",Quercus robur,EICHE,QUERCUS,Oranienburger Chaussee,,,1978.0,42.0,,63.0,,Reinickendorf,Land Berlin
